drug_name,Total Articles,Positive Studies (%),Negative Studies (%),High Quality Evidence (%),Primary Safety Concern,Recent Publications (2yr),Literature Assessment,avg_rating,all_side_effects,overall_sentiment
CYKLOKAPRON,3,33.3,0,33.3,,1,Mixed-Neutral,3.77,fatigue | headache | nausea | vomiting,positive
CYMBALTA,10,10,10,0,,7,Concerning,2.79,fatigue | insomnia | nausea | neuropathy,negative
CYPROHEPTADINE HCL,4,0,25,25,,2,Mixed-Neutral,,,
CYTOMEL,2,0,0,50,,1,Mixed-Neutral,2.73,fatigue | headache | insomnia | weight loss,positive
CYTOTEC,15,0,6.7,33.3,,3,Mixed-Neutral,3.67,diarrhea | nausea,negative
CYTOXAN,41,0,4.9,2.4,,10,Concerning,2.55,diarrhea | fatigue | headache | nausea | rash | vomiting | weight loss,negative
DOSTINEX,4,0,0,0,,2,Concerning,2.36,dizziness | fatigue | headache | heart attack | nausea | neuropathy | weight gain,negative
CABERGOLINE,192,24.5,9.4,15.1,Gastrointestinal,65,Concerning,2.6,fatigue | headache | nausea,negative
CAFERGOT,1,0,0,0,,1,Concerning,3.8,headache | nausea,positive
ERGOTAMINE TARTRATE AND CAFFEINE,20,0,0,10,,7,Concerning,4.0,,negative
DOVONEX,2,0,0,0,,0,Concerning,3.56,neuropathy,positive
FORTICAL,1,0,0,0,,0,Concerning,3.5,,positive
MIACALCIN,1,0,0,0,,0,Concerning,3.58,fatigue | headache,negative
CALCITONIN-SALMON,6,0,0,0,,3,Concerning,3.0,,positive
ROCALTROL,4,0,0,0,,0,Concerning,4.33,,negative
VECTICAL,1,0,0,0,,0,Concerning,,,
PHOSLO,1,0,0,0,,0,Concerning,4.0,,positive
PEPCID COMPLETE,195,0,0,3.6,,31,Concerning,2.67,fatigue | headache | nausea,negative
INVOKANA,11,9.1,9.1,9.1,,3,Concerning,3.7,rash | weight loss,positive
CANDESARTAN CILEXETIL,69,11.6,2.9,8.7,Cardiovascular,25,Concerning,1.67,bradycardia | dizziness | fatigue | headache | neuropathy | stomach pain,neutral
ATACAND,2,0,0,0,,2,Concerning,2.45,fatigue | stomach pain | weight gain,negative
MEDICAL MARIJUANA,136,6.6,4.4,8.8,,46,Concerning,,,
XELODA,32,12.5,9.4,6.2,,3,Concerning,3.27,diarrhea | fatigue | nausea | neuropathy | stomach pain | vomiting,negative
CAPTOPRIL,177,16.4,6.2,6.2,Cardiovascular,52,Concerning,2.33,headache | rash | tachycardia,negative
CAPTOPRIL AND HYDROCHLOROTHIAZIDE,4,0,0,25,,1,Mixed-Neutral,,,
TEGRETOL,10,30,0,0,,3,Concerning,2.82,fatigue | headache | weight gain | weight loss,negative
CARBAMAZEPINE,178,25.8,18.5,4.5,Cardiovascular,63,Concerning,3.0,,neutral
RYTARY,6,0,0,16.7,,1,Concerning,1.0,,neutral
CARBOPLATIN,190,31.1,25.3,15.8,Hematologic,59,Concerning,,,
PARAPLATIN,3,0,33.3,33.3,,0,Concerning,5.0,nausea,neutral
VRAYLAR,6,0,0,33.3,,3,Mixed-Neutral,3.33,fatigue | insomnia | nausea | vomiting | weight gain,positive
SOMA,189,3.7,2.1,1.6,,61,Concerning,3.61,fatigue | insomnia,negative
CARISOPRODOL,38,0,10.5,2.6,,13,Concerning,5.0,fatigue | neuropathy,negative
BICNU,1,0,100,0,,0,Concerning,4.0,,negative
COREG,16,12.5,0,12.5,,7,Concerning,1.92,dizziness | fatigue | headache | nausea | weight gain,negative
CARVEDILOL,174,28.7,14.4,14.4,Cardiovascular,54,Concerning,2.38,dizziness | fatigue | headache | insomnia | nausea | stomach pain | vomiting | weight gain,negative
COREG CR,3,0,0,0,,1,Concerning,3.0,fatigue | weight gain,negative
CECLOR,1,0,0,0,,0,Concerning,2.33,,negative
CEFACLOR,139,9.4,7.9,4.3,Allergic,51,Concerning,3.83,fatigue,positive
CEFADROXIL,94,6.4,8.5,1.1,Allergic,42,Concerning,1.0,fatigue | headache | insomnia | nausea | stomach pain,negative
DURICEF,1,0,0,0,,1,Concerning,5.0,,negative
ANCEF,5,40,0,0,,3,Concerning,,,
KEFZOL,1,0,0,0,,0,Concerning,,,
OMNICEF,1,0,0,0,,0,Concerning,1.47,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | vomiting,negative
CEFDINIR,109,10.1,7.3,8.3,,44,Concerning,1.36,diarrhea | fatigue | insomnia | rash,negative
SUPRAX,1,100,0,100,,1,Favorable,3.5,diarrhea | fatigue,positive
CEFOTAN,1,0,0,0,,0,Concerning,,,
VANTIN,1,0,0,0,,0,Concerning,1.0,headache | nausea | stomach pain,negative
CEFPODOXIME PROXETIL,25,12,4,4,,7,Concerning,4.0,headache | stomach pain,negative
CEFPROZIL,22,0,0,13.6,,9,Concerning,,,
CEDAX,2,0,0,0,,1,Concerning,,,
ROCEPHIN,10,10,0,0,,8,Concerning,3.11,diarrhea | fatigue | rash,positive
CEFTIN,1,0,0,0,,0,Concerning,1.78,diarrhea | fatigue | headache | nausea | vomiting,negative
CEFUROXIME AXETIL,48,4.2,4.2,6.2,Gastrointestinal,18,Concerning,2.5,,negative
CEFUROXIME,176,13.6,13.6,11.4,Allergic,57,Concerning,,,
CELEBREX,32,15.6,3.1,15.6,,11,Concerning,1.57,diarrhea | fatigue | insomnia,negative
KEFLEX,3,0,0,0,,1,Concerning,2.45,dizziness | fatigue | headache | insomnia | nausea,negative
CEPHALEXIN,180,12.2,9.4,3.9,Allergic,41,Concerning,1.61,diarrhea | dizziness | fatigue | headache | insomnia | nausea | rash | tachycardia,negative
CIMZIA,11,0,0,9.1,,2,Concerning,1.86,diarrhea | rash,negative
CETIRIZINE HYDROCHLORIDE,23,8.7,4.3,8.7,,9,Concerning,3.0,fatigue,positive
ZYRTEC,1,0,0,0,,0,Concerning,1.62,diarrhea | fatigue | insomnia | stomach pain | vomiting | weight gain,negative
ZYRTEC ALLERGY,120,0,0,20.8,,40,Concerning,1.0,,negative
CHILDRENS ZYRTEC ALLERGY,26,0,0,15.4,,10,Concerning,,,
ZYRTEC-D 12 HOUR,3,0,0,66.7,,0,Mixed-Neutral,2.0,nausea,positive
CETROTIDE,12,8.3,0,8.3,,3,Concerning,2.0,fatigue,negative
EVOXAC,1,0,0,0,,0,Concerning,4.08,dizziness | fatigue | nausea,positive
LIBRIUM,3,0,0,0,,2,Concerning,3.87,dizziness | fatigue | headache,positive
PERIOGARD,11,9.1,0,0,,5,Concerning,1.0,nausea | vomiting,negative
CHLORHEXIDINE GLUCONATE,181,16,3.3,23.8,Cardiovascular,67,Mixed-Neutral,4.0,nausea,negative
PERIDEX,5,0,0,20,,3,Concerning,1.38,nausea | vomiting,negative
CHLORAPREP,22,13.6,0,31.8,,8,Mixed-Neutral,1.0,,negative
CHLOROTHIAZIDE,43,14,9.3,11.6,,22,Concerning,1.0,fatigue,positive
CHLOR-TRIMETON,2,0,0,0,,1,Concerning,3.92,fatigue,positive
CONTAC,10,10,10,0,,6,Concerning,3.0,,positive
PSEUDOEPHEDRINE HCL AND CHLORPHENIRAMINE MALEATE,12,0,0,8.3,,6,Concerning,5.0,,negative
THORAZINE,3,0,0,0,,2,Concerning,3.06,fatigue | headache | insomnia | neuropathy | weight gain,negative
CHLORPROMAZINE HCL,3,0,0,0,,2,Concerning,5.0,,negative
CHLORTHALIDONE,159,20.8,15.1,29.6,Cardiovascular,59,Mixed-Neutral,1.78,diarrhea | dizziness | fatigue | headache | insomnia | rash | weight gain,neutral
CLONIDINE HCL AND CHLORTHALIDONE,1,0,0,0,,0,Concerning,5.0,fatigue,negative
PARAFON FORTE DSC,97,0,0,1,,30,Concerning,3.67,nausea,positive
QUESTRAN,1,0,0,0,,0,Concerning,3.38,diarrhea | fatigue | nausea | weight gain,positive
CHOLESTYRAMINE,179,11.7,5.6,3.9,Gastrointestinal,57,Concerning,5.0,,positive
OVIDREL,5,0,0,20,,2,Concerning,3.0,,neutral
ALVESCO,8,25,0,0,,1,Concerning,1.31,fatigue | headache | insomnia,negative
OMNARIS,1,0,0,0,,0,Concerning,1.56,fatigue | headache | insomnia | nausea | tachycardia,negative
CICLOPIROX,173,13.9,1.7,4,,62,Concerning,1.0,,neutral
PENLAC,2,0,0,0,,1,Concerning,2.17,,positive
PLETAL,2,0,0,0,,1,Concerning,3.15,diarrhea | fatigue | headache | nausea,positive
SENSIPAR,2,0,0,0,,0,Concerning,1.0,,positive
CIPROFLOXACIN,183,20.2,27.3,6.6,Nephrotoxicity,58,Concerning,1.0,neuropathy,negative
CIPROFLOXACIN HYDROCHLORIDE,103,8.7,1,1,,40,Concerning,2.2,fatigue | headache | nausea | stomach pain,negative
CILOXAN,1,0,0,0,,0,Concerning,,,
CIPRO,83,9.6,7.2,3.6,,29,Concerning,1.47,diarrhea | fatigue | insomnia | nausea | neuropathy | rash | stomach pain | weight loss,negative
PROQUIN XR,1,0,0,0,,0,Concerning,1.0,,negative
CIPRO XR,1,0,0,0,,0,Concerning,3.0,,negative
CIPRODEX,8,25,0,0,,3,Concerning,1.0,,negative
CISPLATIN,192,27.1,43.8,0,Nephrotoxicity,61,Concerning,,,
CITALOPRAM HYDROBROMIDE,16,12.5,0,0,,12,Concerning,3.5,dizziness | fatigue | headache | nausea | rash | vomiting,negative
CELEXA,3,0,0,0,,0,Concerning,2.08,dizziness | fatigue | insomnia | nausea | vomiting,negative
CLARITHROMYCIN,173,13.9,22.5,16.8,Allergic,37,Concerning,1.12,diarrhea | dizziness | fatigue | headache | insomnia | nausea | rash | stomach pain,negative
WINLEVI,5,20,0,0,,2,Concerning,,,
TIMENTIN,9,0,0,0,,1,Concerning,5.0,fatigue,negative
CLEMASTINE FUMARATE,24,16.7,0,12.5,,11,Concerning,4.0,,positive
CLEOCIN HYDROCHLORIDE,31,0,0,3.2,,13,Concerning,2.15,diarrhea | dizziness | fatigue | headache | nausea | rash,negative
CLINDAMYCIN HCL,5,0,0,0,,2,Concerning,1.6,diarrhea | fatigue | headache | insomnia | nausea | rash | vomiting,negative
CLINDAMYCIN PHOSPHATE,62,21,3.2,29,,36,Mixed-Neutral,4.0,,positive
CLEOCIN,1,0,0,0,,0,Concerning,3.31,diarrhea | fatigue | headache,positive
CLINDAMYCIN PHOSPHATE IN DEXTROSE 5%,1,0,0,0,,1,Concerning,5.0,,positive
CLOBETASOL PROPIONATE,188,21.8,3.7,12.8,Allergic,81,Concerning,5.0,,positive
CORMAX,1,0,0,0,,1,Concerning,,,
CLOMID,11,9.1,0,27.3,,3,Mixed-Neutral,3.06,fatigue | headache | insomnia | nausea | stomach pain,negative
ANAFRANIL,3,0,0,0,,1,Concerning,3.56,fatigue | headache | heart attack | insomnia | nausea | weight gain,negative
CLOMIPRAMINE HYDROCHLORIDE,4,0,0,0,,0,Concerning,2.0,,negative
CLOMIPRAMINE HCL,6,16.7,0,0,,4,Concerning,3.0,dizziness,neutral
CLONAZEPAM,179,21.2,8.9,17.3,,52,Concerning,2.33,dizziness | fatigue | headache | insomnia | weight gain,negative
KLONOPIN,1,0,0,0,,0,Concerning,3.19,fatigue | insomnia | neuropathy,negative
CLONIDINE,179,33.5,11.2,23.5,Cardiovascular,62,Mixed-Neutral,3.5,fatigue | headache | insomnia,negative
CLONIDINE HYDROCHLORIDE,21,4.8,0,0,,3,Concerning,,,
CATAPRES,1,0,0,0,,0,Concerning,1.92,dizziness | fatigue | insomnia | neuropathy | tachycardia,negative
CLOPIDOGREL,173,23.1,35.8,20.8,Cardiovascular,59,Concerning,2.0,,positive
CLOPIDOGREL BISULFATE,23,21.7,0,0,Cardiovascular,5,Concerning,,,
PLAVIX,48,8.3,8.3,14.6,Hematologic,20,Concerning,1.21,diarrhea | dizziness | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | tachycardia | vomiting,negative
CLORAZEPATE DIPOTASSIUM,1,0,0,100,,0,Mixed-Neutral,3.0,,positive
LOTRIMIN,2,0,0,0,,0,Concerning,3.0,,negative
MYCELEX,1,0,0,0,,0,Concerning,3.0,headache | nausea | stomach pain,negative
CLOZARIL,20,20,10,15,,9,Concerning,3.06,fatigue | weight gain,negative
CLOZAPINE,178,25.3,53.4,19.1,Hematologic,65,Concerning,3.0,dizziness | fatigue | weight gain,positive
STRIBILD,3,0,0,0,,0,Concerning,,,
PROMETHAZINE HCL AND CODEINE PHOSPHATE,11,0,0,18.2,,6,Concerning,2.0,,neutral
PROMETHAZINE WITH CODEINE,11,0,0,18.2,,6,Concerning,2.0,fatigue | headache,negative
"""TRIPROLIDINE HCL",19,0,0,15.8,,5,Concerning,,,
"PSEUDOEPHEDRINE HCL AND CODEINE PHOSPHATE""",3,0,0,33.3,,3,Mixed-Neutral,,,
COLCRYS,2,0,0,0,,1,Concerning,3.25,diarrhea | nausea,negative
MITIGARE,1,0,0,0,,1,Concerning,,,
PROBENECID AND COLCHICINE,13,0,0,7.7,,5,Concerning,,,
COLESTID,1,0,0,100,,1,Mixed-Neutral,4.25,stomach pain,negative
SANTYL,2,0,0,0,,2,Concerning,,,
PARAGARD T 380A,7,0,0,28.6,,1,Mixed-Neutral,1.33,nausea,positive
PFIZER-BIONTECH COVID-19,169,3.6,8.3,3,Allergic,17,Concerning,2.93,diarrhea | dizziness | fatigue | headache | insomnia | nausea | rash | weight loss,neutral
MODERNA COVID-19,169,1.2,7.1,4.7,Allergic,21,Concerning,3.29,fatigue | heart attack | neuropathy | rash | stomach pain | weight loss,negative
JANSSEN COVID-19 VACCINE,45,0,11.1,2.2,,10,Concerning,2.83,fatigue | headache,neutral
NOVAVAX COVID-19 ADJUVANTED,92,0,0,35.9,,33,Mixed-Neutral,5.0,fatigue,negative
OLUMIANT,17,0,11.8,11.8,,1,Concerning,,,
OMACOR,13,23.1,0,46.2,,1,Mixed-Neutral,3.67,,negative
OMEPRAZOLE,182,17.6,17.6,10.4,Gastrointestinal,50,Concerning,1.0,diarrhea | dizziness | fatigue | headache | insomnia | nausea | stomach pain | vomiting | weight loss,negative
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN,168,0,0,40.5,,64,Mixed-Neutral,,,
OMEPRAZOLE AND SODIUM BICARBONATE,1,100,0,0,,0,Concerning,1.0,insomnia | neuropathy,neutral
OMEPRAZOLE MAGNESIUM,5,0,0,20,,2,Mixed-Neutral,1.0,headache | nausea,negative
OMNARIS,1,0,0,0,,0,Concerning,1.56,fatigue | headache | insomnia | nausea | tachycardia,negative
OMNICEF,1,0,0,0,,0,Concerning,1.47,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | vomiting,negative
OMNIPEN (AMPICILLIN),185,0,0,5.4,,64,Concerning,,,
OMNISCAN,25,4,0,4,,6,Concerning,1.0,,neutral
ONCOVIN,96,8.3,4.2,4.2,,36,Concerning,,,
ONDANSETRON,173,36.4,18.5,37.6,Gastrointestinal,61,Concerning,1.0,,negative
OPANA,7,0,0,14.3,,3,Concerning,5.0,,positive
OPANA ER,2,0,0,0,,1,Concerning,3.77,fatigue | headache | heart attack,negative
OPDIVO,51,17.6,13.7,7.8,,19,Concerning,,,
OPILL,17,0,0,0,,16,Concerning,,,
OPSUMIT,9,0,0,11.1,,7,Mixed-Neutral,4.0,,positive
OPTIVAR,1,0,0,0,,0,Concerning,3.5,,positive
ORACEA,1,0,0,0,,1,Concerning,3.4,,negative
ORAP,5,0,0,0,,0,Concerning,4.0,weight gain,negative
ORENCIA,23,4.3,13,39.1,,10,Mixed-Neutral,3.18,diarrhea | fatigue | headache | nausea | rash,positive
ORILISSA,3,0,0,0,,0,Concerning,4.0,diarrhea | nausea,positive
ORTHO CYCLEN-21,188,0,0,5.9,,52,Concerning,3.33,diarrhea | fatigue | headache | nausea,positive
ORTHO EVRA,3,0,0,33.3,,0,Mixed-Neutral,3.31,fatigue | headache | insomnia | nausea | rash | weight gain,positive
OSMOPREP,4,0,0,0,,3,Concerning,3.0,headache | nausea,positive
OSPHENA,1,0,0,0,,0,Concerning,3.25,headache | stomach pain | weight gain | weight loss,positive
OTEZLA,13,0,7.7,7.7,,7,Concerning,3.18,diarrhea | fatigue | headache | insomnia | nausea,positive
OVIDE,13,0,0,7.7,,7,Concerning,,,
OVIDREL,5,0,0,20,,2,Concerning,3.0,,neutral
OXANDROLONE,68,17.6,8.8,10.3,Cardiovascular,28,Concerning,5.0,,positive
OXAZEPAM,156,5.1,2.6,2.6,,52,Concerning,3.33,insomnia,positive
OXYBUTYNIN,175,26.3,11.4,29.1,,52,Mixed-Neutral,1.0,dizziness,negative
OXYBUTYNIN CHLORIDE,6,50,16.7,50,,2,Mixed-Positive,1.8,,negative
OXYCODONE AND ACETAMINOPHEN,177,0,0,27.1,,39,Mixed-Neutral,3.6,fatigue | headache | nausea | vomiting,negative
OXYCODONE AND ASPIRIN,5,0,0,40,,0,Mixed-Neutral,3.29,,negative
OXYCODONE HYDROCHLORIDE,43,16.3,14,30.2,Gastrointestinal,10,Concerning,4.27,dizziness | fatigue | headache | nausea | neuropathy | vomiting,negative
OXYCODONE HYDROCHLORIDE AND ACETAMINOPHEN,177,0,0,27.1,,39,Mixed-Neutral,,,
OXYCODONE HYDROCHLORIDE AND IBUPROFEN,87,0,0,25.3,,18,Concerning,,,
OXYCONTIN,71,9.9,12.7,4.2,Gastrointestinal,27,Concerning,2.58,fatigue | headache | weight gain,negative
OXYTETRACYCLINE HCL,3,0,0,0,,2,Concerning,2.5,,positive
OXYTROL,2,0,50,0,,2,Concerning,2.33,fatigue,negative
OZEMPIC,141,6.4,2.8,3.5,,128,Concerning,2.67,fatigue | insomnia | nausea | vomiting,negative
OZURDEX,171,15.8,7,7,,53,Concerning,5.0,,positive
SANDOSTATIN LAR,13,15.4,7.7,15.4,,4,Concerning,4.0,insomnia,neutral
SANDOSTATIN,28,10.7,3.6,7.1,,10,Concerning,3.5,diarrhea | fatigue | weight loss,neutral
FLOXIN,2,0,0,0,,1,Concerning,1.5,insomnia | neuropathy,positive
LYNPARZA,21,4.8,4.8,0,,6,Concerning,5.0,nausea,negative
BENICAR,1,0,0,0,,1,Concerning,1.12,diarrhea | dizziness | fatigue | headache | neuropathy | weight gain,negative
STIOLTO RESPIMAT,1,0,0,100,,0,Mixed-Neutral,2.5,dizziness | fatigue,positive
PATANOL,1,0,0,0,,0,Concerning,3.37,fatigue | headache,positive
PATADAY,2,50,0,0,,0,Concerning,4.0,,negative
XOLAIR,36,5.6,16.7,8.3,,16,Concerning,5.0,headache | rash,positive
OMACOR,13,23.1,0,46.2,,1,Mixed-Neutral,3.67,,negative
LOVAZA,4,0,25,25,,1,Concerning,3.82,stomach pain,positive
OMEPRAZOLE,182,17.6,17.6,10.4,Gastrointestinal,50,Concerning,1.0,diarrhea | dizziness | fatigue | headache | insomnia | nausea | stomach pain | vomiting | weight loss,negative
PRILOSEC,3,0,0,0,,1,Concerning,1.22,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | weight gain | weight loss,negative
OMEPRAZOLE MAGNESIUM,5,0,0,20,,2,Mixed-Neutral,1.0,headache | nausea,negative
OMEPRAZOLE AND SODIUM BICARBONATE,1,100,0,0,,0,Concerning,1.0,insomnia | neuropathy,neutral
BOTOX,159,19.5,8.8,15.1,Gastrointestinal,40,Concerning,,,
ZOFRAN ODT,176,0,0,25.6,,23,Mixed-Neutral,3.2,dizziness | fatigue | headache | heart attack | neuropathy,positive
ONDANSETRON,173,36.4,18.5,37.6,Gastrointestinal,61,Concerning,1.0,,negative
ZOFRAN,1,0,0,0,,0,Concerning,2.44,diarrhea | headache | nausea | stomach pain | vomiting,negative
ALLI,192,1,4.2,6.2,,38,Concerning,3.88,diarrhea | headache | stomach pain | weight loss,positive
XENICAL,15,6.7,0,13.3,,4,Concerning,3.27,headache | nausea | weight loss,positive
TAMIFLU,81,4.9,7.4,8.6,,31,Concerning,2.77,diarrhea | headache | insomnia | nausea | stomach pain | vomiting,negative
OSPHENA,1,0,0,0,,0,Concerning,3.25,headache | stomach pain | weight gain | weight loss,positive
OXANDROLONE,68,17.6,8.8,10.3,Cardiovascular,28,Concerning,5.0,,positive
OXAZEPAM,156,5.1,2.6,2.6,,52,Concerning,3.33,insomnia,positive
TRILEPTAL,2,0,0,0,,2,Concerning,2.44,fatigue | headache | insomnia | nausea | neuropathy | stomach pain | vomiting | weight gain | weight loss,negative
OXYTROL,2,0,50,0,,2,Concerning,2.33,fatigue,negative
GELNIQUE 3%,123,0,0,30.9,,37,Mixed-Neutral,,,
OXYBUTYNIN,175,26.3,11.4,29.1,,52,Mixed-Neutral,1.0,dizziness,negative
DITROPAN,2,0,0,0,,2,Concerning,4.0,stomach pain,negative
OXYBUTYNIN CHLORIDE,6,50,16.7,50,,2,Mixed-Positive,1.8,,negative
OXYCONTIN,71,9.9,12.7,4.2,Gastrointestinal,27,Concerning,2.58,fatigue | headache | weight gain,negative
OXYCODONE HYDROCHLORIDE,43,16.3,14,30.2,Gastrointestinal,10,Concerning,4.27,dizziness | fatigue | headache | nausea | neuropathy | vomiting,negative
OPANA,7,0,0,14.3,,3,Concerning,5.0,,positive
OPANA ER,2,0,0,0,,1,Concerning,3.77,fatigue | headache | heart attack,negative
OXYTETRACYCLINE HCL,3,0,0,0,,2,Concerning,2.5,,positive
PITOCIN,21,9.5,0,19,,11,Concerning,2.0,,positive
PALIPERIDONE,171,23.4,13.5,19.9,Gastrointestinal,55,Mixed-Neutral,1.0,,positive
PAMINE,3,0,0,0,,1,Concerning,2.8,headache | nausea,positive
PANTOPRAZOLE SODIUM,27,0,0,3.7,,16,Concerning,2.0,diarrhea | headache | nausea,positive
PARAFON FORTE DSC,97,0,0,1,,30,Concerning,3.67,nausea,positive
PARAGARD T 380A,7,0,0,28.6,,1,Mixed-Neutral,1.33,nausea,positive
PARAPLATIN,3,0,33.3,33.3,,0,Concerning,5.0,nausea,neutral
PAROXETINE,177,30.5,14.1,17.5,Cardiovascular,60,Concerning,2.4,insomnia | neuropathy,negative
PATADAY,2,50,0,0,,0,Concerning,4.0,,negative
PATANASE,1,0,0,0,,0,Concerning,3.78,fatigue | headache | stomach pain | weight gain,positive
PATANOL,1,0,0,0,,0,Concerning,3.37,fatigue | headache,positive
PAXIL,7,0,0,14.3,,2,Concerning,2.07,headache | neuropathy | weight gain,negative
PAXIL CR,1,0,0,0,,1,Concerning,3.71,fatigue | headache | vomiting | weight gain,positive
PAXLOVID,160,15.6,31.2,7.5,Cardiovascular,43,Concerning,2.71,diarrhea | dizziness | fatigue | insomnia | nausea | stomach pain,negative
PEMOLINE,6,0,0,16.7,,2,Mixed-Neutral,3.0,nausea,positive
DRUG_NAME,97,0,0,5.2,,37,Concerning,,,neutral
COLESTID,1,0,0,100,,1,Mixed-Neutral,4.25,stomach pain,negative
SANTYL,2,0,0,0,,2,Concerning,,,
PARAGARD T 380A,7,0,0,28.6,,1,Mixed-Neutral,1.33,nausea,positive
PFIZER-BIONTECH COVID-19,169,3.6,8.3,3,Allergic,17,Concerning,2.93,diarrhea | dizziness | fatigue | headache | insomnia | nausea | rash | weight loss,neutral
MODERNA COVID-19,169,1.2,7.1,4.7,Allergic,21,Concerning,3.29,fatigue | heart attack | neuropathy | rash | stomach pain | weight loss,negative
JANSSEN COVID-19 VACCINE,45,0,11.1,2.2,,10,Concerning,2.83,fatigue | headache,neutral
NOVAVAX COVID-19 ADJUVANTED,92,0,0,35.9,,33,Mixed-Neutral,5.0,fatigue,negative
EUCRISA,5,0,0,0,,2,Concerning,1.0,,positive
INTAL,11,0,0,0,,3,Concerning,3.0,,negative
NASALCROM,2,0,0,0,,0,Concerning,3.47,fatigue | headache,positive
EURAX,1,0,0,0,,0,Concerning,5.0,,neutral
CYANOCOBALAMIN,181,9.9,3.9,9.4,Cardiovascular,51,Concerning,,,
CYCLOBENZAPRINE HYDROCHLORIDE,10,10,0,0,,7,Concerning,4.0,fatigue,negative
CYCLOBENZAPRINE HCL,3,0,0,0,,3,Concerning,3.27,fatigue,positive
FLEXERIL,1,100,0,0,,1,Concerning,1.54,nausea | neuropathy,negative
CYCLOGYL,2,0,0,0,,0,Concerning,,,
CYTOXAN,41,0,4.9,2.4,,10,Concerning,2.55,diarrhea | fatigue | headache | nausea | rash | vomiting | weight loss,negative
NEORAL,33,3,3,0,,9,Concerning,4.07,fatigue | headache | nausea | neuropathy | rash | weight gain,negative
RESTASIS,28,21.4,3.6,7.1,,12,Concerning,1.5,dizziness | fatigue | insomnia | nausea | neuropathy | rash,negative
SANDIMMUNE,3,0,0,0,,0,Concerning,2.0,headache | nausea | weight loss,positive
CYPROHEPTADINE HCL,4,0,25,25,,2,Mixed-Neutral,,,
PERIACTIN,4,0,0,0,,1,Concerning,3.62,diarrhea | fatigue | headache | weight gain,positive
DALIRESP,1,0,0,0,,0,Concerning,,,
DANAZOL,175,16,11.4,12,Hematologic,51,Concerning,4.0,fatigue | headache | weight gain | weight loss,negative
DANTRIUM,3,0,0,33.3,,2,Mixed-Neutral,3.0,headache,neutral
DAPSONE,172,23.8,16.3,9.9,Allergic,39,Concerning,3.17,insomnia,positive
DARZALEX,13,0,15.4,0,,5,Concerning,5.0,,positive
DAYTRANA,1,0,0,0,,0,Concerning,3.2,insomnia | weight loss,positive
DAYVIGO,3,33.3,0,0,,1,Concerning,2.69,headache,negative
DDAVP,184,15.8,14.7,14.7,Hematologic,69,Concerning,4.12,headache | stomach pain | vomiting,positive
DECADRON,8,12.5,0,25,Cardiovascular,4,Mixed-Neutral,1.62,fatigue | headache | insomnia | nausea | neuropathy | stomach pain,negative
DECADRON W/ XYLOCAINE,1,0,0,0,,1,Concerning,3.0,,negative
DECA-DURABOLIN,6,0,0,0,,5,Concerning,4.58,,positive
DEFINITY,90,5.6,8.9,5.6,Allergic,38,Concerning,,,
DELSYM,1,0,0,0,,0,Concerning,1.78,insomnia | stomach pain | tachycardia,positive
DELTASONE,1,0,0,0,,1,Concerning,2.31,fatigue | insomnia | nausea | neuropathy | rash | tachycardia | weight gain,negative
DEMEROL,2,0,0,0,,0,Concerning,2.67,headache | nausea | tachycardia,negative
DEPAKENE,7,28.6,0,42.9,,4,Mixed-Neutral,3.0,fatigue | nausea | rash | vomiting | weight gain,negative
DEPAKOTE,13,0,0,0,,4,Concerning,2.8,fatigue | stomach pain | weight gain,negative
DEPO-MEDROL,16,12.5,0,25,,8,Concerning,1.13,diarrhea | dizziness | fatigue | headache | nausea,negative
DEPO-PROVERA,54,7.4,5.6,5.6,,21,Concerning,1.09,dizziness | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | weight gain,negative
DEPO-SUBQ PROVERA 104,9,0,0,11.1,,1,Concerning,5.0,,negative
DEPO-TESTOSTERONE,1,0,0,0,,1,Concerning,3.56,headache,positive
DESLORATADINE,154,21.4,6.5,7.8,Allergic,70,Concerning,2.0,fatigue,negative
DESOGESTREL AND ETHINYL ESTRADIOL,1,100,0,100,,1,Favorable,3.5,fatigue | headache | weight gain,positive
DESONIDE,22,22.7,9.1,22.7,Allergic,12,Mixed-Neutral,1.0,,negative
DESOXIMETASONE,19,15.8,10.5,5.3,,5,Concerning,3.0,,positive
DESOXYN,3,0,0,0,,1,Concerning,4.08,fatigue | headache | nausea,positive
DESVENLAFAXINE FUMARATE,1,0,0,0,,0,Concerning,,,
DETROL,1,0,100,0,,0,Concerning,3.76,fatigue,negative
DETROL LA,1,0,100,0,,0,Concerning,1.0,,neutral
DEXAMETHASONE,176,34.1,25,27.8,Gastrointestinal,63,Mixed-Neutral,2.67,dizziness | fatigue | insomnia | stomach pain,negative
DEXAMETHASONE SODIUM PHOSPHATE,188,11.7,2.7,4.8,,79,Concerning,1.0,,negative
DEXEDRINE,1,0,0,0,,0,Concerning,3.74,fatigue | headache | insomnia | rash | tachycardia | weight loss,negative
