drug_name,most_positive_comment,most_negative_comment,,
HYDROXYZINE HCL,May discontinue for a while to see if sadness and appetite gets improves. Otherwise been very satisfied. Also I'm taking low-dose. I cut 25 mg in half.,"After that first attempt I didn't take it again for a while but my insomnia was so bad my doctor persuaded me to give it another try. So I cut it in half. Two weeks later I now have severe dry mouth, blurry eyes that don't function together, pupils that don't expand and contract properly, very dry eyes, itching, burning, hives, feeling nauseated, decreased appetite, dizziness and weakness. I have asthma to begin with and the shortness of breath after the hydroxyzine is so bad I thought I had covid-19.",,
HYDROXYZINE PAMOATE,"It was great for panic attacks (and allergies, hah)",Very weak for anxiety,,
HYGROTON,worked very well to control hypertension without lowering so much that it caused energy problems,"Works great to lower my blood pressure, but works a little too well as a small dose is very potent. When I first started taking hygroton (chlorthalidone) one pill daily dropped my potassium too low. So, for years now I've only taken 1/2 pill a day and that works out fine. I do urinate more frequently and I notice that I complain often of cold feet and dry skin especially lips. However, I have switched to other BP meds with unsatisfactory results and ended up coming back to this one. I'd rather take this med because it keeps my BP at a good place. Dr. does monitor my potassium level periodically. As for side effects, I don't drink water past a certain hour at night, wear warm socks and own a variety of lip moisturizers amd chapsticks and I make a point to consume a food high in potassium a couple times a week.",,
HYTRIN,"Switched from Flomax to Hytrin and thank God I did. Works great, I can piss like a racehorse again, have no vertigo at all, can ejaculate normally again, and don't have to worry about ""floppy iris syndrome"" as much. Moved from 1 mg. a day to 2mg. after the 1st. week. Side effects flare up briefly when you up the dosage, then subside in 1 or 2 days. Added benefit of spontaneous ""night boners"" again. Haven't had those in the last 20yrs....!!! Great alpha blocker ...and cheap...!!!","After taking this drug for 15 years my BPH took an unexpected bad turn and I was switched to Rapaflo. I do not like the Rapaflo side effects, especially on the sexual side. I am going back to urologist to see if a switch back could be possible",,
HYZAAR,It really suck,The side effects became so bad that I ended up at urgent care.,,
IBRANCE,This drug killed my mother inside of a few months,This drug killed my mother inside of a few months,,
IBU,"It worked well, It helped me recover from my wisdom teeth extraction (4 done all at the same time), and helped with the swelling and pain. I used the 200mg strength pills, and took usually 400-600mg as I thought i needed it. (this was just my regimen, and is not indended to give guidance or advice on how you should take the medicine). Always contact your doctor before starting a new medication. Thanks,",useless drug,,
IBUPROFEN,Did give very good pain relief. Thought i'd try an ibu[rofen cream but that made me dizzy too,I had bad toothache didn't know how i was going to make it for my birthday its on easter plus i'm cooking,,
ILEVRO,"Hard to tell if it is helping to reduce inflammation, as the side effects include the very things it is supposed to reduce! I look forward to being done with it.","Hard to tell if it is helping to reduce inflammation, as the side effects include the very things it is supposed to reduce! I look forward to being done with it.",,
ILOSONE,"Well,despite the side effects it's the only drug able to kill Chlamydia Thracomathis.I did a first course with Zythromax , 1 gram in a single dosage but it didn't work.I went on Ilosone,500mg.every 6 hours x 7 days and finally my NSU was solved.","some notes from MOTHERING magazine, #46, Winter 1988 (Jan., Feb., March), article titled ""Whooping Cough"", pp. 32-35: Regarding treatment with erythromycin (estolate form, such as ilosone) for 14 days: ""Some forms of erythromycin are more effective than others. The estolate is considered most reliable, providing the least incidence of relapse.... Ilosone, the liquid form of erythromycin given to children, is an estolate. The succinate variety is generally considered least effective."" p. 35 ""...a 14-day course of treatment is considered essential to avoid relapse...."" p. 34 ""The nature of the disease process makes treatment of pertussis difficult. While the bacteria, Bordetella pertussis, is actually very responsive to erythromycin, the bacteria produces an endotoxin that is not responsive. The erythromycin will usually eradicate the bacteria within the first five days of treatment (although a 14-day course of treatment is considere",,
IMBRUVICA,"I think this is a good and effective drug so far. I just feel they run people off of it by not dose reducing when people have problems with it. My neighbor and I both started it about the same time, and he was fed up with sleeping so much, said not much point being alive if you sleep all the time, I told him to ask his Dr. about reducing dose, he didn't know you could. He reduced also and is better.",Will not be going back on it ever.,,
IMDUR,"I feel better, not so out of breath, a little more energy. Does anyone know if this aching neck will eventually stop?","It did relieve angina, but at terrible cost. The side effects are horrendous.",,
IMIPRAMINE HCL,I think you are better off it then on it. I am going to taper it by 50 mg for 10 days (2 divided doses) 25 mg for 15 days and then off it.,"It's helped a lot but I wish it didn't have excessive sweating as a side effect. I hope it goes away, it's awful. I sweat like I've spent hours at the gym, just going to the store for a brief period.",,
IMITREX,This medicine works more than 90 percent of the time. It's worth the side effects.,"While the medicine takes away my headache within an hour, within 24 hours, I usually have a rebound headache. Also, I feel like sometimes, the medicine may not be working as well as it used to. I worry if it is damaging my kidneys/liver taking it at least 1x/week.",,
IMODIUM,Still OK in moderation,I dont care how painful it gets I will never take it again. Gp appointment tomorrow to figure out what is going on with my insides,,
IMODIUM ADVANCED,"Amazingly effective at controlling irritable bowel syndrome triggered by anxiety, e.g. having to use the bathroom because of being in public. This drug works at controlling this terrible aspect of my anxiety/depression/OCD where Wellbutrin, Zoloft, Paxil, Prozac, Lexapro, Lorazepam, Xanax, and Valium have failed! I cannot recommend it highly enough.","Amazingly effective at controlling irritable bowel syndrome triggered by anxiety, e.g. having to use the bathroom because of being in public. This drug works at controlling this terrible aspect of my anxiety/depression/OCD where Wellbutrin, Zoloft, Paxil, Prozac, Lexapro, Lorazepam, Xanax, and Valium have failed! I cannot recommend it highly enough.",,
IMURAN,I have been on this drug twice before but it was 25mg. With Allopurinol. That worked great with no side effects except it could could cause bone loss. Was taken off but had a flare up so new Dr put me on just Imuran. Working great. I don't like the side effects but I would rather be bald and fat than dead.,I was terrified to take this drug. I struggled on prednisone with the awful side effects. I am reducing steriods now and hoping I can stay on azathioprine,,
INAPSINE,do not let them give you this. It did much more harm than good.,"Don't ever let the ER give you this. Most people don't have a bad reaction, but when they do it's so bad that the small risk is not worth it. The risk outweighs the benefits.",,
INCIVEK,"This is a terrible drug. It is hell to have to work while taking this medication. BUT, it increases your chance of a cure from 50% to 85% more or less. The pain is worth the cure, but it's a hard long road. Know that there are good days around the corner, the bad days don't last forever.","This is a terrible drug. It is hell to have to work while taking this medication. BUT, it increases your chance of a cure from 50% to 85% more or less. The pain is worth the cure, but it's a hard long road. Know that there are good days around the corner, the bad days don't last forever.",,
INCRUSE ELLIPTA,I never could tell any difference but kept taking it to follow doctor's instructions. I can't tell any difference--good or bad--so I'm going to quit taking it and see what happens. I wasn't having severe symptoms in the first place.,I have to choose between breathing and having so much pain i can hardly eat or drink!? Really unfair!,,
INDERAL,Nice and good,Terrible drug!!!,,
INDERAL LA,"This drug changed my life. It took about two weeks to work, but then it greatly reduced my migraines. I was having headaches about 5 days a week and now every once in awhile.","It definitely helped my heart palps and flutters, and the craziness of severe hyperthyroidism, but the icy hands and legs has become intolerable (walking is painful and awkward...) and so is my indifference to everything... and I HATE not dreaming.. oh, and it never did get rid of the mild daily headaches I get, either... altho' I didn't have a problem with that as far as I'm concerned. But: I AM NOT ME, ANYMORE. I'm seeing the endocrinologist tomorrow to discuss this mess...",,
INDO-LEMMON,Indomethacin is the labeled name but it was mfg'd by Teva. It worked well. After 3-4 hours the most intense pain subsides. After a few days you will be able to walk some and gradually feels normal within a few weeks. I would not take it any longer than required though.,Indomethacin is the labeled name but it was mfg'd by Teva. It worked well. After 3-4 hours the most intense pain subsides. After a few days you will be able to walk some and gradually feels normal within a few weeks. I would not take it any longer than required though.,,
INDOCIN,I started taking this drug when it was first introduced in the 1960s as nothing else worked. Within one hour of taking the first dose I was symptom free. I did have to do once a week blood testing for the first year to ensure that it was not doing any damage to internal organs. Tests verified no adverse effects. A true miracle drug.,I had a hysterectomy on july 5 2021. I was doing terribly. They gave it as a suppository because i can't take anything in my stomach. No one said take with food. I have to sleep for atleast 2 hours. I'm extremely grateful for this medicine. Oh also the suppository helps lower abdominal pain.,,
INDOMETHACIN,I thought for sure I was dying.,"Took this drug a handful of times sporadically over the past four months. Never had any majors issues until now. Took one pill, an hour or so later, felt like I was about to die. Have never had a panic attack in my life before this. Absolutely NOT WORTH IT. Didn't even help with my pain this time around. Wish I read these reviews before going through such an awful experience like the one brought on by this god awful medicine. AVOID! AT! ALL! COSTS!",,
INDOMETHACIN SODIUM,Rash began to slowly build on body several months after starting this drug. Rash and skin pain built in body for many months before doctor made connection between drug and my body's toxic response. I was incapacitated for months (due to severe skin pain and fatigue) before new doctor made connection between drug and damage it was doing to my body. Pure hell - I will never take this drug again. Read about drug's side effects and take them seriously.,I only took 4 doses before experiencing these serious side effects,,
INDOMETHEGAN,Awful side-effects. Truly terrifying.,Awful side-effects. Truly terrifying.,,
INGREZZA,This seems like the drug industry's attempt to capitalize on an epidemic they created. How awful to make people who are already suffering suffer more. Terrible drug!,This seems like the drug industry's attempt to capitalize on an epidemic they created. How awful to make people who are already suffering suffer more. Terrible drug!,,
INJECTAFER,"I had a bad rxn to venofer (iron sucrose) and was terrified to try another formulation, but injectafer has been wonderful to me. Just make sure your doctor checks your Phosphorus level before you get the injection, and monitors it afterward. I've never had a problem with it, but always get checked just in case.",I am not sure how it has worked. I only got the IV 3 days ago.,,
INTAL,"If you want to treat Asthma without Long acting Beta drugs, or without Steroids, it's had to find meds. This is one of them - actually very side-effect free (Cromelyn Sodium is actuall OTC in NasalCrom it's so side-effect free). It does not work as good as Advair (Which I was on) but I'm willing to deal with a little tighter chest to avoid the side effects of Advair.","If you want to treat Asthma without Long acting Beta drugs, or without Steroids, it's had to find meds. This is one of them - actually very side-effect free (Cromelyn Sodium is actuall OTC in NasalCrom it's so side-effect free). It does not work as good as Advair (Which I was on) but I'm willing to deal with a little tighter chest to avoid the side effects of Advair.",,
INTELENCE,cake walk,cake walk,,
INTROVALE,"I loved this birth control. It really helped with my period pain and regularity, and I'm so sad it was discontinued (at least in my area). I was really surprised reading all of these negative comments because I had such a great experience. I guess it'll affect everyone differently.",Don't.,,
INTUNIV,would have been perfect had i not hallucinated.,Never taking this again. Hope I feel back to my normal crazy self soon. 👍🏼,,
INVANZ,Update: never had any side effects,"First diver flare was one year ago, put on cipro/flagyl, almost killed me, developed lactose intolerance immediately, lost 8 pounds in one week, had to stop meds after 3 days, horrible thrush took two weeks to cure. This is NOTHING like those drugs. NO side effects, stool is loose but could be post diver flare, have not lost weight. If you have diverticulitis, REFUSE cipro/flagyl and ask for this drug IV every day (a bit of an inconvenience) but far superior.",,
INVEGA,It's ok,Terrible drug. Should be banned. Should have to take a brain xray before getting prescribed a drug like this.,,
INVEGA SUSTENNA,Wosrt thing thats ever happened to me was this drug. For 19 years of my life i was very fit loved to exercise loved music. Before the injection i was a lightweight w weed alcohol and nicotine. I was driven hardworking fit and loved aspects of life. I kid you not I completely lost the ability to feel pleasure after getting this. It gas been 157 days. I hate my life and ive just about given up. How is this possible??,Horrible horrible horrible life ruining drug,,
INVEGA TRINZA,It a good medicine but very expensive,I am a big fan of Invega Sustenna however Invega Trinza does not work so well for me and I had horrible withdrawal symptoms leading up to my next shot. I think improvements still need to be made with this medication. It did however help me with some suicidal thoughts.,,
INVOKANA,miracle drug - many diabetes symptoms are gone......,I'll continue on it as long as I can as its decreased my sugar and weight a lot.,,
IONAMIN,I swear this pill is awesome i used it for two months and lost alot of weight its great if it werent for the side effects,"DO NOT TAKE! This is a pill from the devil. I've done all sorts of weight loss pills & this is bad. I couldn't sleep for about 2 weeks. Had severe unquenchable thirst, slight shakiness & slight rapid heart beat. Became extremely depressed & sad, crying about anything. Cried cause the wind blew my hair into my eyes, & cause I dropped my pencil-seriously. I became very easily annoyed,aggravated & angry over the most petty things. I wasn't hungry & barely ate which was good. I only lost 3lbs in a week, so I made myself eat a bit more & started exercising. I lost 8 lbs in 3wks, but was miserable from the other side effects. I'm normally a fun joking person, but became horrifically upset over everything & my crying was out of control,so I decided to quit taking. This pill is difficult to come off of, so I took 1/2 pill/day to wean off. It took me OVER a year to rid my body of all the side effects. I would NOT recommend this pill to anyone & also told my Dr.",,
IPRATROPIUM BROMIDE,Helped my symptoms from the first use. I tried EVERY nasal spray out there but I always suffered from a post nasal drip and severe congestion and I was miserable. This is the first one that actually cleared up my nose. I got to stop taking my Stahist (which was making me very anxious and giving me insomnia) because this adequately relieved my symptoms!,Helped my symptoms from the first use. I tried EVERY nasal spray out there but I always suffered from a post nasal drip and severe congestion and I was miserable. This is the first one that actually cleared up my nose. I got to stop taking my Stahist (which was making me very anxious and giving me insomnia) because this adequately relieved my symptoms!,,
ISENTRESS,was struggling with Gastro issues with the prescobix protease inhibitor I was taking alongside to truvada. Kept taking truvada alongside raltegravir and had no issues at all so very happy,"I've been taking isentress for over a year, and so far so good. I'm very happy with it. I think people only tend to add reviews of drugs if they've had a bad experience with them. I noticed there was a 1-star review, so I thought I'd add my 5-star review to balance things out a bit. I take Isentress with Kivexa, and I've never had any problems with either of them.",,
ISIBLOOM,would not recommend DO NOT TAKE THIS IF YOU ARE SENSITIVE TO MEDICATIONS!,I was on Nuva Ring for 10 years and never experienced these side effects. This is the worst I have ever felt on a medication.,,
ISOPTIN,"For nine months I had daily mini-migrains to the point it was interfering with my ability to work and I sought help from a neurologist. Because of the information on this website, I stopped taking the verapamil and the migrains ceased the very next day.","Worst drug I have ever taken. Started out with some minor constipation, nothing big. Then the drug started to lose It's effect so the doctor told me to increase the dosage to 80mg from 40mg. Went like that for a month, constipations grew ever so more painful and eventually one day when I woke up at 6-7 AM, I started having stabbing and cramping chest pains. Had to go to the hospital and once I'm there, everything checks out fine until a cardiologist presses and massages my heart muscles to recreate the intense stabbing pains and wouldn't you know it. the drug has essentially made sections of my heart to become inflamed, resulting in severe pains every 3-5 seconds. If this drug does not help you at a 40mg dose, avoid it like the black plague.",,
ISORDIL,It does lower my pressure but too many side effects.,seems to be working chest pains are more manageable making life a little better,,
ISOSORBIDE MONONITRATE,LOVE it! Can't wait to take it in the AM to get its effects of reducing pain on left side. It did take several days or more to go into effect.,"I take this ISOSORBIDE MONONITRATE ER 30 MG twice a day. One in the morning and one in the evening before bed. It does lower my B/P, but gives me bad headaches. I take prescription Ibuprofen 800 MG for the pain and it says I can take one every eight hours. Sometimes I only need to take one.",,
ISRADIPINE,Been taking DynaCirc CR 5mg for 16 years.Manufacturer not producing any until July 2012 due to factory problems.None available in entire USA/Canada.Doctor prescribed 2.5 mg 2x daily of generic isradipine from Cobalt Labs.Generic does absoltely nothing to reduce bp and is producing heart palpitations.,Been taking DynaCirc CR 5mg for 16 years.Manufacturer not producing any until July 2012 due to factory problems.None available in entire USA/Canada.Doctor prescribed 2.5 mg 2x daily of generic isradipine from Cobalt Labs.Generic does absoltely nothing to reduce bp and is producing heart palpitations.,,
ITRACONAZOLE,"I took itraconazole by using the pulse method (one week taking the drug, then 3 weeks off, repeated 4 times). It works, the nail now seems to be growing back  healthy. But I feel like my guts have taken a beating. Taking Enterol 250 MG (saccharomyces boulardii yeast) helped with the diarrhea.",I really hated taking this drug. I felt overall pretty down taking this but it killed the fungus living in my lungs. I gave it 5 stars because it worked not because it was enjoyable being on it.,,
IV PERSANTINE,It was a very unpleasant experience and I would not have this medication again,Would never allow this to be administered again. Worst feeling ever in my life.,,
IVERMECTIN,"Ivermectin treats for parasites. Am currently using it to treat babesiosis, which has been resistant to mepron. It is effective for babesiosis.",took away headache and brain fog and all other symptoms of covid,,
JAKAFI,Much easier to tolerate than Hydroxyurea,No noticeable benefit from Jakarta and I paid over $3000 for 2 months of pills,,
JANSSEN COVID-19 VACCINE,I have AutoImmune and Thyroid issues and lymph nodes removed in one arm and chest so I was hesitant to take the mRNA with problyene glycol. Luckly did not have any swelling of my arm or lymph nodes. Glad I did not know it could cause strokes. Anyway I was drinking Alka Seltzer every night in my usual routine.,Given in arm. Tired 2 days then blood clot,,
JANUMET,Blood sugar good. I took regular metformin ( glucopahge ) for 10 years or so but started having headaches. Some weight loss from Actos reversed.,"While this medication certainly lowered the diabetes problem, the negative side effects were noted. I have come off this medication twice for a month at a time in order to ascertain whether the Janumet is actually causing these side effects. Both times negative side effects return once begining dossage again. Shame, as it does work.",,
JANUMET XR,It is way TOO EXPENSIVE......I am fortunate to have found insurance that will help pay for it. The purpose of manufacturing a successful drug is to help people get better......not to see how much money you can make on their misfortune.....,It is way TOO EXPENSIVE......I am fortunate to have found insurance that will help pay for it. The purpose of manufacturing a successful drug is to help people get better......not to see how much money you can make on their misfortune.....,,
JANUVIA,This needs to be taken for the market! How much longer is the FDA gonna wait?,"I'm going to self discontinue because I've been to 2 hospitals for everything I'm going through just to find out there's nothing wrong, but all this started when I started taking this medication. So I'm going to stop and see what happens.",,
JARDIANCE,"It seems obvious to me that with so many people experiencing pain, yeast infections and the like, that this drug caused issues for most people.",Dangerous,,
JUBLIA,Has anyone experienced headaches while using Jublia?,"Jublia is VERY expensive. The first time I was prescribed Jublia I was able to get samples, so it didn't hurt my wallet. This time the cost of one bottle was $500 and that was after my insurance discounted it. There is no way I'm going to spend thousands of dollars for something that doesn't seem to work at all. I'd rather risk the chance of using oral Lamisil, despite the possibility of liver problems. At least I know Lamisil works and it doesn't take a year!",,
JUNEL 1.5/30,"I have tried many birth control pills some of which worked well before I had a baby and some that work better for me now that I have a kiddo. So far I really like this pill. My periods are short and almost nonexistent. I don't think I have experienced any weight gain, nor do I think BC is tied to weight gain. I think there is a decrease in libido, but it is to be expected when on birth control, any birth control. This has been a great pill for me. I would recommend it to friends and family.","I have tried many birth control pills some of which worked well before I had a baby and some that work better for me now that I have a kiddo. So far I really like this pill. My periods are short and almost nonexistent. I don't think I have experienced any weight gain, nor do I think BC is tied to weight gain. I think there is a decrease in libido, but it is to be expected when on birth control, any birth control. This has been a great pill for me. I would recommend it to friends and family.",,
JUNEL FE 1.5/30,"I love this bc. I was on junel fe before this dosage and then I started bleeding through the lower dose, typical endo. I have struggled to lose weight on almost all bc but this one I seem to be able to control my cravings and food intake. Other BC's I was always hungry and couldn't control my intake now I've lost 10 pounds and sleep way less, I'm bot sure to be annoyed or okay with it s iij nce most of the time I really struggled with my fatigue and exhaustion. I still have endo pain unfortunately but I recommend this bc. It's easier than most and less side effects in my opinion. The trick tho is definitely to. And make sure you are drinking the right amount of water if I don't that's when my bc effects my moods and all..",I used to have very very painful periods and I would have cramps for at least 3 weeks out of the month. Sore breasts for usually at least 2-3 weeks. Bleeding was also very very heavy and terrible. After taking junel all of that has stopped and now I only get cramps a few days before and during my period and they are very manageable. It also helped with my acne.,,
JUNEL FE 1/20,"To be honest, I'm not really concerned about the side effects, just the fact that I won't get pregnant and it's done it's job so far.",TRY OTHER HOLISTIC METHODS. THIS IS NOT GOOD,,
KADCYLA,"Kadcyla, as with all chemos is hard, but compared to the combination of docetaxel, carboplantin, herception, and perjta, it is a lot easier to endure. My dosage was immediately reduced from 200mg to 160mg after first dose because The side effects were too intense for me. The side effects are intense at first and then after 4 day increments it becomes easier. As each dose is given it is taking a little longer to start feeling better. Although my liver enzymes are in normal range they are creeping up to the high side of normal by 10 dose.",Looking to see if anyone has symptoms months after taking,,
KADIAN,Taken kadian 13 + yrs best I can think of or say.,"Seems to work as well as MS Contin, without the gastrointestinal problems. Pharmacy gave me this because they were out of MS Contin generic. Expensive, $127 vs $6. Have insurance. Taken for severe neuropathy and PAD. Cannot walk without this med.",,
KALETRA,works well in combination. counts are great.,works well in combination. counts are great.,,
KARIVA,"The most noticable side effect is definetly the non-existent sex drive (relationship suffering from it). I have also noticed increased discharge and odor after restarting it, but I have not determined if it is certainly the Kariva. I have noticed increase (intensity) mood swings now that I have restarted kariva (I had stopped taking for a year or so, but I have been on it again for over a year now). I am probably going to stop taking it again.","Kariva did help lighten my periods and I rarely experienced cramps or breast tenderness, but my ance became horrible. The sides of my face have broken out with terrible cystic acne and it has also shown up on my chest and back. This is not worth it to me and I started Ortho Tri-cyclen this morning. Hoping it works a lot better to clear up this acne.",,
KEFLEX,I am discontinuing this med immediately and am ready to feel in a normal state of mind again.,"I knew what to expect since I had taken it in the past, so it wasn't as bad this time. All antibiotics cause me depression/anxiety - what do they put in this stuff?!",,
KELNOR,If I had to take this for birth control I would NOT TAKE IT!,Decreased sex drive and breast tenderness as side effects,,
KENALOG,The drs need to be way more informative about the exact drug they are using well before they use it so you can make a informed choice.,"If I'd known how awful this drug would make me feel, I would've dealt with the knee pain another way. Would not recommend!",,
KENALOG IN ORABASE,Not sure if it's worth it,I have used Kenalog in Orabase since I as a kid. My dad was Military and I would get it from the Miltary  doctors. It has taken my 15 years to find a doctor that would prescribe it to me. I told me husband that he has to try it once and he will understand.,,
KENALOG-10,This did not work for my itchy rash. Results lasted only minutes. Because it can only be used sparingly it is not an effective drug for my condition.,"i have had this injection years back due to a keliod from a thyroid cyst surgery on my neck, i stopped after three injections because of the pain, & didn't have or probably didn't notice any side effect. From Nov 2015 - march 2016, i started the injection again due to a lump formation on my shoulder and chest, just above my right breast. i didn't notice any effect except for the pains on the place of injection which stops after 2days but on the 2nd to the last injection i started experiencing weird symptoms like i listed, i thought i was i was pregnant from drysex, i did a PT both urine & blood test, it came out negative, went for gastric test, every thing was okay, but the symptoms still increases daily. i didnt know i will be alive telling my story cause it was a horrible experience. the steroid flattened the lump though but i have recently noticed a dint on the area which is expanding day by day. the symptoms have vanish to where it came from, after almost taking my life away. i would never have the injection again, even if it was a substitute for DEATH. and it takes only one shot to have a terrible side effect.",,
KENALOG-40,"Still recovering from the sci-fi nightmare of Kenalog. The feelings I experienced (and am still experiencing) were like having one foot here on earth, one in hell. I lost my ability to care for my 10 year old son for 3 months, still barely able to care for myself, I also had to quit school (prior to that I had a 4.0 and only 9 courses left before obtaining 2 degrees). NONE of these potential side effects were mentioned beforehand. I realize my experience may be rare but I am hoping it may spare someone else or at least warn of what you may be getting into. I have nothing to gain by writing this, I am simply writing the review I wish I had read before ever putting this poison into my body.",Really bad for ladies!!,,
KEPPRA,after 6 weeks I was able to get it reduced to 250 mg 2 times a day.this was no help so after 8 weeks I reduced it on my own to 125 mg 1 time a day and after 24 weeks I am getting better. This poison should not be given to anyone.,My doctor took me off Depakote and now I'm beginning the taper off Keppra. Terrible drug. I can't imagine how anyone could stay on this.,,
KEPPRA XR,I love Keppra XR.,I get angry at a drop of a dime,,
KERLONE,"Works great in controlling HBP. It also has no effect on my glucose and cholesterol values,like other beta blockers did.","Before I took Kerlone, I had weekly migraine headaches as well as daily hormonal headaches. Kerlone has been extremely beneficial in alleviating these headaches. In addition, Kerlone controls the tachycardia I had previously, too. It also keeps my blood pressure under complete control.",,
KETALAR,I had it as a continuos infusion on a reducing dose over abot five days (twice in 4weeks) it certainly worked and I would be willing to put up with the side effects again as it played a strong role in saving my life.,"This crap is supposed to help people re emerge from full sedation- It turned an otherwise pleasant experience into a nightmare- As soon as I woke up from the dental work,- I was agitated and horrified for many hours afterwards- I even contemplated suicide- take this at your own dire risk.",,
KETAMINE HYDROCHLORIDE,Ketamine infusion worked great on me. The infusion is extremely pleasurable.,"please do your research ...this was one of the most frightening experiences of any of my treatments , if the dr told me what to expect i would not have been as afraid ...however if i had to do it again now that it is over i would NEVER CONSIDER GOING NEAR KETAMINE EVER AGAIN IN ANY FORM OR DOSE",,
KETEK,Garbage.. stay away from it.,"A couple of hours after taking just one dose, it made me feel worse than I was already feeling. I also broke out in a severe skin yeast infection after taking it- totally miserable- imagine feeling like you have millions of microscopic bugs crawling all over you!!! It seems to have affected my immune system. It has been a couple of years now since taking it and now I suffer from chronic yeast infections anytime I take any antibiotic- even  antibiotic ointment!",,
KETOCONAZOLE,"This drug WILL give you headache, artery aches (like in the neck) and nausea. Its better to deal with it if you can lie down, but that menas you have to be in bed all day for as long as you take it. I tried a better way of working with the side effects, which was to take Ibuprofen for the headaches and that does stop them! Also, I take a very small dose of (less-drowsy formula) dramamine a few minutes before taking the dose, and I also can avoid the nausea. I would rather continue with this drug because it is the only thing I can do to tame my overactive adrenals. That condition bothers me more than this drug does, so I dont mind having to take a few steps to fix my adrenal overactivity. I have only been on this a few days I will come back to post if anything else shows up.",I stopped this after 3 days because the side effects were getting worse. I will never take this again.,,
KETOZOLE,I have applied this product to my large right toe twice a day for 6 months for a bad toe nail fungus. It is like nail polish and was compounded by our Pharmacy. There is only a tiny bit of fungus left on the very tip of the nail. The next time I cut my nails it will be gone. The Pharmacist said it would take about 6 months to clear up.,I have applied this product to my large right toe twice a day for 6 months for a bad toe nail fungus. It is like nail polish and was compounded by our Pharmacy. There is only a tiny bit of fungus left on the very tip of the nail. The next time I cut my nails it will be gone. The Pharmacist said it would take about 6 months to clear up.,,
KEYTRUDA,I was diagnosed with NSCLC in spring of 2017 and only treatment I got was Keytruda every 3 weeks for 2 years. Now I am still NO EVIDENCE OF DISEASE after 7 years from diagnosis. Saved my life. Basically no bad side effects.,My husband took 2 doses of this drug and the side effects ended up killing him months before the disease would have,,
KINERET,"I would love to talk with others on Kineret, please email me!",MY CRP WENT UP WHILE ON IT! IT CLEARLY MADE ME WORSE! WAS ON IT FOR 3 MONTHS!,,
KLARON,"I suffered from Acne from the age of 15-22. I tried everything on the market and at the age of 22, a doctor recommended Klaron and I've been acne free since! NO side effects! No burn! No dryness! No redness! I' dont know why this medicine is not prescribed over antibiotics or Retin A.","Other than Accutane (which has such horrible side effects), Klaron is the only treatment which has ever kept me virtually breakout-free.",,
KLONOPIN,It's true if I miss a dose in the daytime I start having withdrawals. I can't sit still and I just want to die. It is so addicting I wish I never started taking this drug.,This medication is terrible 10-15 pound weight gain for someone who is already over weight,,
KLONOPIN RAPIDLY DISINTEGRATING,Trying to withdraw has led to many problems including seizures!! I still am tapering off of it!! This should never be prescribed for more than a week!!,"This drug is extremely addictive, especially for people who are poor metabolizers. Coming off this drug was like a descent into hell and has left me with nerve damage and severe irritable bowel for years. Even if you think this drug is helping you, it has the potential to eventually destroy your life!",,
KLOR-CON,"My potassium was extremely low, causing very high blood pressure and some irregularity in heartbeat. Within a week, all arrythmias were gone and blood pressure fell from 190/120 to 104/62","My potassium was extremely low, causing very high blood pressure and some irregularity in heartbeat. Within a week, all arrythmias were gone and blood pressure fell from 190/120 to 104/62",,
KURVELO,"The first month of being on Kurvelo was probably the worst I've ever experienced in starting new birth control. I almost quit, especially with the fatigue during and following that horrendous period. But I stuck through it and I've evened out to a much more normal state since then. The start is rocky but can be worth it for women looking for more regular periods and a good contraceptive.","The first month of being on Kurvelo was probably the worst I've ever experienced in starting new birth control. I almost quit, especially with the fatigue during and following that horrendous period. But I stuck through it and I've evened out to a much more normal state since then. The start is rocky but can be worth it for women looking for more regular periods and a good contraceptive.",,
KUVAN,"Before taking Kuvan my son was taking Adderall XR for ADHD which was associated with his PKU. He was taking 40 mg of Adderall XR and was experiencing a number of the unwanted side effects which can be associated with higher doses of Adderall. After starting Kuvan we were able to progressively reduce the amount of Adderall over time. At this point he is only taking 15 mg of Adderall XR. Subjectively this seems a little on the low side and it is likely his next prescription for Adderall XR will be 20 mg. Clearly Kuvan has been effective in reducing the amount of Adderall needed and we have seen many of the side effects associated with Adderall decline in line with the reduction in dosage. With this said, I think it's important for individuals who are taking Kuvan and are considering either a stimulant or a non-stimulant medication for associated ADHD to clearly review the dosage with their doctor as this may vary from the dosage recommendations for those patients having ADHD but not diagnosed with PKU. It's my experience that the physician prescribing Adderall for ADHD is most often not the physician prescribing Kuvan for PKU. With this said your ADHD prescribing physician may not have any understanding of the relationship between PKU and ADHD and the possible interactions between Kuvan and the prescribed ADHD medication. I go out of my way to ask these physicians how much they understand regarding the above and to the extent they are ill-informed I require them to communicate",Hard to justify taking this medication when considering the cost (240K yearly) and the efficacy of the product ( Only lowered my PHE levels 30%). However I still stuck to it for nearly 10 years. Note: I haven’t been on a low protein diet since I was a toddler. Once the anaphylactic episodes kicked in I stopped taking Kuvan. Been off Kuvan for 8 months now and no more anaphylactic episodes.,,
